+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+


Koordinatlara Ait Karesel Ortalama Hatalar ve Nokta Konum Duyarlılıkları:
+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
NNO     mx     my    mp(cm)
--------------------------------------------
1     0,0166  0,2026 0,2033
2     0,0424  0,0940 0,1031
3     0,0861  0,0385 0,0943
5     0,0840  0,0480 0,0968
6     0,0812  0,1691 0,1876
7     0,0312  0,1301 0,1338
8     0,0136  0,0908 0,0919
9     0,0202  0,0709 0,0738
12    0,1172  0,0662 0,1346
13    0,1309  0,1156 0,1746
